version,id,specialty,naics_modifier,eo_minimum_premium
v2.0.101,185,Medical Billing Services,1.881999969482422,850.00
v2.0.101,186,Other Billing Services,1.881999969482422,850.00
v2.0.101,187,Business Broker Services,1.481999993324280,850.00
v2.0.101,188,Business Management,2.545000076293945,850.00
v2.0.101,189,Full Service Management of Third Party Business,3.174999952316284,850.00
v2.0.101,190,Hotel Management,3.174999952316284,850.00
v2.0.101,191,Medical Practice Management Services,2.545000076293945,850.00
v2.0.101,192,Court Reporting Services,0.740999996662140,850.00
v2.0.101,193,Instructional & Training Activities,0.740999996662140,850.00
v2.0.101,194,"Educational Test Development, Scoring and Proctoring Services",0.740999996662140,850.00
v2.0.101,195,Exam Preparation and Tutoring,0.528999984264374,850.00
v2.0.101,196,Foreign Exchange Student & Homestay Services,1.481999993324280,850.00
v2.0.101,197,Vocational Training & Consulting,0.528999984264374,850.00
v2.0.101,198,Franchisor Services,3.174999952316284,850.00
v2.0.101,199,Landman,3.174999952316284,850.00
v2.0.101,200,Aircraft/Jet Broker,1.057999968528748,850.00
v2.0.101,201,Appraisal of Goods,1.057999968528748,850.00
v2.0.101,202,Auctioneering of Goods and Services,1.057999968528748,850.00
v2.0.101,203,Bail Agent,1.481999993324280,850.00
v2.0.101,204,Broker of Other Goods and Services,1.057999968528748,850.00
v2.0.101,205,Event Planning Services,0.740999996662140,850.00
v2.0.101,206,Extermination and Pest Control Services,0.740999996662140,850.00
v2.0.101,207,Janitorial Services,1.057999968528748,850.00
v2.0.101,208,Other Services,1.057999968528748,850.00
v2.0.101,209,Skip Tracing Services,2.545000076293945,850.00
v2.0.101,210,Telephone Call Center Services: Inbound,0.740999996662140,850.00
v2.0.101,211,Telephone Call Center Services: Outbound,1.481999993324280,850.00
v2.0.101,212,Translation Services,1.057999968528748,850.00
v2.0.101,213,Repossession Services,2.545000076293945,850.00
v2.0.101,214,Yacht/Ship/Boat Broker,1.057999968528748,850.00
v2.0.101,215,Payroll Services,2.545000076293945,850.00
v2.0.101,216,Printing Services,1.057999968528748,850.00
v2.0.101,217,Private Investigation Services,1.057999968528748,850.00
v2.0.101,218,Accreditation Services,1.481999993324280,850.00
v2.0.101,219,"Other Professional, Scientific, and Technical Services",1.057999968528748,850.00
v2.0.101,220,Business Process Operator/Outsourcer,1.481999993324280,850.00
v2.0.101,221,Dispute Resolution Services,1.057999968528748,850.00
v2.0.101,222,Energy Broker,1.057999968528748,850.00
v2.0.101,223,Executive Coaching and Mentoring,0.528999984264374,850.00
v2.0.101,224,Expert Witness,1.057999968528748,850.00
v2.0.101,225,Guardianship services,2.545000076293945,850.00
v2.0.101,226,Lobbying,1.057999968528748,850.00
v2.0.101,227,Notaries,0.740999996662140,850.00
v2.0.101,228,"Inspection, Repair, Calibration, Maintenance Services",1.057999968528748,850.00
v2.0.101,229,Process Server,0.740999996662140,850.00
v2.0.101,230,Referral Services,1.057999968528748,850.00
v2.0.101,231,Permanent Employment Services,0.640999972820282,850.00
v2.0.101,232,Professional Employer Organization Services,1.281000018119812,850.00
v2.0.101,233,Temporary & Permanent Employment Services,0.640999972820282,850.00
v2.0.101,234,Temporary Employment Services,0.640999972820282,850.00
v2.0.101,235,Third Party Administration: Employee benefits,3.604000091552734,850.00
v2.0.101,236,Third Party Administration: Non-employee benefits,2.888999938964844,850.00
v2.0.101,237,"Couriers, Messengers, and Delivery Services",0.528999984264374,850.00
v2.0.101,238,Custom House/Freight Forwarder Services,1.057999968528748,850.00
v2.0.101,239,Marine Surveying Services,1.057999968528748,850.00
v2.0.101,240,Transportation Related Activities,1.057999968528748,850.00
v2.0.101,241,Pilot Car Services,1.481999993324280,850.00
v2.0.101,242,Traffic Control and Management Services,2.545000076293945,850.00
v2.0.101,243,"Warehousing, Storage, and Fulfillment",1.057999968528748,850.00
v2.0.101,244,Other Travel Services,0.528999984264374,850.00
v2.0.101,245,Tour Operator Services,1.057999968528748,850.00
v2.0.101,246,Travel Agency Services,0.528999984264374,850.00
v2.0.101,247,Adult Day Care,0.862999975681305,1000.00
v2.0.101,248,Audiologists,0.432000011205673,850.00
v2.0.101,249,Blood and Organ Banks: Blood,1.174000024795532,20000.00
v2.0.101,250,Blood and Organ Banks: Milk,1.006000041961670,10000.00
v2.0.101,251,Blood and Organ Banks: Organs,1.340999960899353,20000.00
v2.0.101,252,Blood and Organ Banks: Reproductive,1.174000024795532,20000.00
v2.0.101,253,Blood and Organ Banks: Tissue,1.174000024795532,20000.00
v2.0.101,254,Case Management,0.628000020980835,2500.00
v2.0.101,255,Medical Guardianship,1.442000031471252,5000.00
v2.0.101,256,General Medical Clinic,0.837999999523163,2000.00
v2.0.101,257,Methadone Clinic,0.802999973297119,2000.00
v2.0.101,258,Pain Management Clinic,2.012000083923340,4000.00
v2.0.101,259,Physical Medicine Clinic,1.968999981880188,5000.00
v2.0.101,260,Pregnancy education/testing,0.671000003814697,3500.00
v2.0.101,261,Sleep Clinic,0.671000003814697,2000.00
v2.0.101,262,Weight Loss Clinic,0.805000007152557,2500.00
v2.0.101,263,Clinical Research/ Trials,0.658999979496002,2000.00
v2.0.101,264,Behavioral Counseling,0.488999992609024,850.00
v2.0.101,265,Egg Donor or Surrogate Matching Services,0.746999979019165,3500.00
v2.0.101,266,Marriage and Family Counseling,0.428000003099442,850.00
v2.0.101,267,Pastoral counseling,0.746999979019165,1000.00
v2.0.101,268,PHP / IOP,1.419000029563904,3500.00
v2.0.101,269,Substance Abuse: Counseling,0.679000020027161,1500.00
v2.0.101,270,Dental assistant or hygenist,0.837999999523163,1250.00
v2.0.101,271,Dental labs,0.493999987840652,2000.00
v2.0.101,272,Dentist: Non-Specialist - Non-Surgery,0.837000012397766,5000.00
