version,id,percent_of_occ_limit,type,factor
v2.0.101,352,45.00,Property Damage,6.41
v2.0.101,353,45.00,Breach of Contract,6.41
v2.0.101,354,45.00,Personal & Advertising Injury,12.83
v2.0.101,355,45.00,Intellectual Property Infringement,6.41
v2.0.101,356,45.00,Third Party Discriminatio,6.41
v2.0.101,357,45.00,Contractors Pollution (Claims Made),8.39
v2.0.101,358,45.00,Contractors Pollution (Occ),10.07
v2.0.101,359,45.00,Sexual Abuse & Misconduct,15.92
v2.0.101,360,45.00,Billing Errors Coverage,7.10
v2.0.101,361,45.00,Class Action Sublimit,-13.21
v2.0.101,362,45.00,Crisis Management,4.89
v2.0.101,363,45.00,Defense Only TCPA,12.78
v2.0.101,364,45.00,Defense Outside Limits,12.83
v2.0.101,365,45.00,Evacuation Expenses,4.89
v2.0.101,366,45.00,Faulty Workmanship,34.52
v2.0.101,367,45.00,Games of Chance / Over-Redemptio,7.10
v2.0.101,368,45.00,HIPAA Violations,2.84
v2.0.101,369,45.00,Open House Claim Sublimit,8.39
v2.0.101,370,45.00,Rectification Expenses,4.89
v2.0.101,371,45.00,Protective Indemnity,1.42
v2.0.101,372,45.00,Mold,4.89
v2.0.101,373,45.00,Pollutants in Transit,1.42
v2.0.101,374,45.00,Non-Owned Disposal Site,1.42
v2.0.101,375,45.00,Bodily injury / property damage,16.83
v2.0.101,376,45.00,Antitrust sublimit,2.84
v2.0.101,377,45.00,Failure to disclose pollutants,2.84
v2.0.101,378,45.00,FCRA defense only sublimit,12.78
v2.0.101,379,45.00,Pollution liability,8.02
v2.0.101,380,45.00,Technology Coverage Extensio,8.39
v2.0.101,381,45.00,Bodily Inury (Emotional Distress),8.02
v2.0.101,382,45.00,Network security & privacy,4.89
v2.0.101,383,45.00,Defamation Exclusion and Sublimit,-1.48
v2.0.101,384,45.00,InvasionPrivacyExclusionSublimit,-1.48
v2.0.101,385,45.00,Media activities,9.09
v2.0.101,386,50.00,Bodily Injury,16.52
v2.0.101,387,50.00,Property Damage,6.61
v2.0.101,388,50.00,Breach of Contract,6.61
v2.0.101,389,50.00,Personal & Advertising Injury,13.21
v2.0.101,390,50.00,Intellectual Property Infringement,6.61
v2.0.101,391,50.00,Third Party Discriminatio,6.61
v2.0.101,392,50.00,Contractors Pollution (Claims Made),8.59
v2.0.101,393,50.00,Contractors Pollution (Occ),10.31
v2.0.101,394,50.00,Sexual Abuse & Misconduct,16.37
