version,id,percent_of_occ_limit,type,factor
v2.0.101,499,65.00,Sexual Abuse & Misconduct,17.71
v2.0.101,500,65.00,Billing Errors Coverage,7.45
v2.0.101,501,65.00,Class Action Sublimit,-11.29
v2.0.101,502,65.00,Crisis Management,5.28
v2.0.101,503,65.00,Defense Only TCPA,13.42
v2.0.101,504,65.00,Defense Outside Limits,14.13
v2.0.101,505,65.00,Evacuation Expenses,5.28
v2.0.101,506,65.00,Faulty Workmanship,37.23
v2.0.101,507,65.00,Games of Chance / Over-Redemptio,7.45
v2.0.101,508,65.00,HIPAA Violations,2.98
v2.0.101,509,65.00,Open House Claim Sublimit,9.05
v2.0.101,510,65.00,Rectification Expenses,5.28
v2.0.101,511,65.00,Protective Indemnity,1.49
v2.0.101,512,65.00,Mold,5.28
v2.0.101,513,65.00,Pollutants in Transit,1.49
v2.0.101,514,65.00,Non-Owned Disposal Site,1.49
v2.0.101,515,65.00,Bodily injury / property damage,18.54
v2.0.101,516,65.00,Antitrust sublimit,2.98
v2.0.101,517,65.00,Failure to disclose pollutants,2.98
v2.0.101,518,65.00,FCRA defense only sublimit,13.42
v2.0.101,519,65.00,Pollution liability,8.83
v2.0.101,520,65.00,Technology Coverage Extensio,9.05
v2.0.101,521,65.00,Bodily Inury (Emotional Distress),8.83
v2.0.101,522,65.00,Network security & privacy,5.28
v2.0.101,523,65.00,Defamation Exclusion and Sublimit,-0.83
v2.0.101,524,65.00,InvasionPrivacyExclusionSublimit,-0.83
v2.0.101,525,65.00,Media activities,9.80
v2.0.101,526,70.00,Bodily Injury,17.98
v2.0.101,527,70.00,Property Damage,7.19
v2.0.101,528,70.00,Breach of Contract,7.19
v2.0.101,529,70.00,Personal & Advertising Injury,14.38
v2.0.101,530,70.00,Intellectual Property Infringement,7.19
v2.0.101,531,70.00,Third Party Discriminatio,7.19
v2.0.101,532,70.00,Contractors Pollution (Claims Made),9.17
v2.0.101,533,70.00,Contractors Pollution (Occ),11.00
v2.0.101,534,70.00,Sexual Abuse & Misconduct,18.15
v2.0.101,535,70.00,Billing Errors Coverage,7.51
v2.0.101,536,70.00,Class Action Sublimit,-10.60
v2.0.101,537,70.00,Crisis Management,5.35
v2.0.101,538,70.00,Defense Only TCPA,13.52
v2.0.101,539,70.00,Defense Outside Limits,14.38
v2.0.101,540,70.00,Evacuation Expenses,5.35
v2.0.101,541,70.00,Faulty Workmanship,37.72
v2.0.101,542,70.00,Games of Chance / Over-Redemptio,7.51
v2.0.101,543,70.00,HIPAA Violations,3.00
v2.0.101,544,70.00,Open House Claim Sublimit,9.17
v2.0.101,545,70.00,Rectification Expenses,5.35
v2.0.101,546,70.00,Protective Indemnity,1.50
v2.0.101,547,70.00,Mold,5.35
v2.0.101,548,70.00,Pollutants in Transit,1.50
v2.0.101,549,70.00,Non-Owned Disposal Site,1.50
v2.0.101,550,70.00,Bodily injury / property damage,18.88
v2.0.101,551,70.00,Antitrust sublimit,3.00
v2.0.101,552,70.00,Failure to disclose pollutants,3.00
v2.0.101,553,70.00,FCRA defense only sublimit,13.52
v2.0.101,554,70.00,Pollution liability,8.99
v2.0.101,555,70.00,Technology Coverage Extensio,9.17
v2.0.101,556,70.00,Bodily Inury (Emotional Distress),8.99
v2.0.101,557,70.00,Network security & privacy,5.35
v2.0.101,558,70.00,Defamation Exclusion and Sublimit,-0.70
v2.0.101,559,70.00,InvasionPrivacyExclusionSublimit,-0.70
v2.0.101,560,70.00,Media activities,9.93
v2.0.101,561,75.00,Bodily Injury,18.30
v2.0.101,562,75.00,Property Damage,7.32
v2.0.101,563,75.00,Breach of Contract,7.32
v2.0.101,564,75.00,Personal & Advertising Injury,14.64
v2.0.101,565,75.00,Intellectual Property Infringement,7.32
v2.0.101,566,75.00,Third Party Discriminatio,7.32
v2.0.101,567,75.00,Contractors Pollution (Claims Made),9.27
v2.0.101,568,75.00,Contractors Pollution (Occ),11.12
v2.0.101,569,75.00,Sexual Abuse & Misconduct,18.60
v2.0.101,570,75.00,Billing Errors Coverage,7.56
v2.0.101,571,75.00,Class Action Sublimit,-9.75
v2.0.101,572,75.00,Crisis Management,5.41
v2.0.101,573,75.00,Defense Only TCPA,13.61
v2.0.101,574,75.00,Defense Outside Limits,14.64
v2.0.101,575,75.00,Evacuation Expenses,5.41
v2.0.101,576,75.00,Faulty Workmanship,38.13
v2.0.101,577,75.00,Games of Chance / Over-Redemptio,7.56
v2.0.101,578,75.00,HIPAA Violations,3.02
v2.0.101,579,75.00,Open House Claim Sublimit,9.27
v2.0.101,580,75.00,Rectification Expenses,5.41
v2.0.101,581,75.00,Protective Indemnity,1.51
v2.0.101,582,75.00,Mold,5.41
v2.0.101,583,75.00,Pollutants in Transit,1.51
v2.0.101,584,75.00,Non-Owned Disposal Site,1.51
v2.0.101,585,75.00,Bodily injury / property damage,19.21
v2.0.101,586,75.00,Antitrust sublimit,3.02
v2.0.101,587,75.00,Failure to disclose pollutants,3.02
v2.0.101,588,75.00,FCRA defense only sublimit,13.61
v2.0.101,589,75.00,Pollution liability,9.15
v2.0.101,590,75.00,Technology Coverage Extensio,9.27
v2.0.101,591,75.00,Bodily Inury (Emotional Distress),9.15
v2.0.101,592,75.00,Network security & privacy,5.41
v2.0.101,593,75.00,Defamation Exclusion and Sublimit,-0.58
v2.0.101,594,75.00,InvasionPrivacyExclusionSublimit,-0.58
v2.0.101,595,75.00,Media activities,10.04
v2.0.101,596,80.00,Bodily Injury,18.62
v2.0.101,597,80.00,Property Damage,7.45
v2.0.101,598,80.00,Breach of Contract,7.45
v2.0.101,599,80.00,Personal & Advertising Injury,14.89
v2.0.101,600,80.00,Intellectual Property Infringement,7.45
v2.0.101,601,80.00,Third Party Discriminatio,7.45
v2.0.101,602,80.00,Contractors Pollution (Claims Made),9.36
v2.0.101,603,80.00,Contractors Pollution (Occ),11.23
v2.0.101,604,80.00,Sexual Abuse & Misconduct,19.05
v2.0.101,605,80.00,Billing Errors Coverage,7.60
v2.0.101,606,80.00,Class Action Sublimit,-8.64
v2.0.101,607,80.00,Crisis Management,5.46
v2.0.101,608,80.00,Defense Only TCPA,13.68
v2.0.101,609,80.00,Defense Outside Limits,14.89
v2.0.101,610,80.00,Evacuation Expenses,5.46
v2.0.101,611,80.00,Faulty Workmanship,38.50
v2.0.101,612,80.00,Games of Chance / Over-Redemptio,7.60
v2.0.101,613,80.00,HIPAA Violations,3.04
v2.0.101,614,80.00,Open House Claim Sublimit,9.36
v2.0.101,615,80.00,Rectification Expenses,5.46
v2.0.101,616,80.00,Protective Indemnity,1.52
v2.0.101,617,80.00,Mold,5.46
v2.0.101,618,80.00,Pollutants in Transit,1.52
v2.0.101,619,80.00,Non-Owned Disposal Site,1.52
v2.0.101,620,80.00,Bodily injury / property damage,19.55
v2.0.101,621,80.00,Antitrust sublimit,3.04
v2.0.101,622,80.00,Failure to disclose pollutants,3.04
v2.0.101,623,80.00,FCRA defense only sublimit,13.68
v2.0.101,624,80.00,Pollution liability,9.31
v2.0.101,625,80.00,Technology Coverage Extensio,9.36
v2.0.101,626,80.00,Bodily Inury (Emotional Distress),9.31
v2.0.101,627,80.00,Network security & privacy,5.46
v2.0.101,628,80.00,Defamation Exclusion and Sublimit,-0.45
v2.0.101,629,80.00,InvasionPrivacyExclusionSublimit,-0.45
v2.0.101,630,80.00,Media activities,10.14
v2.0.101,631,85.00,Bodily Injury,18.90
v2.0.101,632,85.00,Property Damage,7.56
v2.0.101,633,85.00,Breach of Contract,7.56
v2.0.101,634,85.00,Personal & Advertising Injury,15.12
v2.0.101,635,85.00,Intellectual Property Infringement,7.56
v2.0.101,636,85.00,Third Party Discriminatio,7.56
v2.0.101,637,85.00,Contractors Pollution (Claims Made),9.45
v2.0.101,638,85.00,Contractors Pollution (Occ),11.34
v2.0.101,639,85.00,Sexual Abuse & Misconduct,19.49
v2.0.101,640,85.00,Billing Errors Coverage,7.63
v2.0.101,641,85.00,Class Action Sublimit,-7.13
v2.0.101,642,85.00,Crisis Management,5.51
v2.0.101,643,85.00,Defense Only TCPA,13.73
v2.0.101,644,85.00,Defense Outside Limits,15.12
v2.0.101,645,85.00,Evacuation Expenses,5.51
v2.0.101,646,85.00,Faulty Workmanship,38.88
v2.0.101,647,85.00,Games of Chance / Over-Redemptio,7.63
v2.0.101,648,85.00,HIPAA Violations,3.05
v2.0.101,649,85.00,Open House Claim Sublimit,9.45
v2.0.101,650,85.00,Rectification Expenses,5.51
v2.0.101,651,85.00,Protective Indemnity,1.53
v2.0.101,652,85.00,Mold,5.51
v2.0.101,653,85.00,Pollutants in Transit,1.53
v2.0.101,654,85.00,Non-Owned Disposal Site,1.53
v2.0.101,655,85.00,Bodily injury / property damage,19.85
v2.0.101,656,85.00,Antitrust sublimit,3.05
v2.0.101,657,85.00,Failure to disclose pollutants,3.05
v2.0.101,658,85.00,FCRA defense only sublimit,13.73
v2.0.101,659,85.00,Pollution liability,9.45
v2.0.101,660,85.00,Technology Coverage Extensio,9.45
v2.0.101,661,85.00,Bodily Inury (Emotional Distress),9.45
v2.0.101,662,85.00,Network security & privacy,5.51
v2.0.101,663,85.00,Defamation Exclusion and Sublimit,-0.33
v2.0.101,664,85.00,InvasionPrivacyExclusionSublimit,-0.33
v2.0.101,665,85.00,Media activities,10.24
v2.0.101,666,90.00,Bodily Injury,19.18
v2.0.101,667,90.00,Property Damage,7.67
v2.0.101,668,90.00,Breach of Contract,7.67
v2.0.101,669,90.00,Personal & Advertising Injury,15.35
v2.0.101,670,90.00,Intellectual Property Infringement,7.67
v2.0.101,671,90.00,Third Party Discriminatio,7.67
v2.0.101,672,90.00,Contractors Pollution (Claims Made),9.54
v2.0.101,673,90.00,Contractors Pollution (Occ),11.45
v2.0.101,674,90.00,Sexual Abuse & Misconduct,19.94
v2.0.101,675,90.00,Billing Errors Coverage,7.66
v2.0.101,676,90.00,Class Action Sublimit,-4.61
v2.0.101,677,90.00,Crisis Management,5.57
v2.0.101,678,90.00,Defense Only TCPA,13.78
v2.0.101,679,90.00,Defense Outside Limits,15.35
v2.0.101,680,90.00,Evacuation Expenses,5.57
v2.0.101,681,90.00,Faulty Workmanship,39.26
v2.0.101,682,90.00,Games of Chance / Over-Redemptio,7.66
v2.0.101,683,90.00,HIPAA Violations,3.06
v2.0.101,684,90.00,Open House Claim Sublimit,9.54
v2.0.101,685,90.00,Rectification Expenses,5.57
v2.0.101,686,90.00,Protective Indemnity,1.53
v2.0.101,687,90.00,Mold,5.57
v2.0.101,688,90.00,Pollutants in Transit,1.53
v2.0.101,689,90.00,Non-Owned Disposal Site,1.53
v2.0.101,690,90.00,Bodily injury / property damage,20.14
v2.0.101,691,90.00,Antitrust sublimit,3.06
v2.0.101,692,90.00,Failure to disclose pollutants,3.06
v2.0.101,693,90.00,FCRA defense only sublimit,13.78
v2.0.101,694,90.00,Pollution liability,9.59
v2.0.101,695,90.00,Technology Coverage Extensio,9.54
v2.0.101,696,90.00,Bodily Inury (Emotional Distress),9.59
v2.0.101,697,90.00,Network security & privacy,5.57
v2.0.101,698,90.00,Defamation Exclusion and Sublimit,-0.22
v2.0.101,699,90.00,InvasionPrivacyExclusionSublimit,-0.22
v2.0.101,700,90.00,Media activities,10.34
v2.0.101,701,95.00,Bodily Injury,19.46
v2.0.101,702,95.00,Property Damage,7.78
v2.0.101,703,95.00,Breach of Contract,7.78
v2.0.101,704,95.00,Personal & Advertising Injury,15.57
v2.0.101,705,95.00,Intellectual Property Infringement,7.78
v2.0.101,706,95.00,Third Party Discriminatio,7.78
v2.0.101,707,95.00,Contractors Pollution (Claims Made),9.63
v2.0.101,708,95.00,Contractors Pollution (Occ),11.56
v2.0.101,709,95.00,Sexual Abuse & Misconduct,20.39
v2.0.101,710,95.00,Billing Errors Coverage,7.68
v2.0.101,711,95.00,Class Action Sublimit,-2.80
v2.0.101,712,95.00,Crisis Management,5.62
v2.0.101,713,95.00,Defense Only TCPA,13.82
v2.0.101,714,95.00,Defense Outside Limits,15.57
v2.0.101,715,95.00,Evacuation Expenses,5.62
v2.0.101,716,95.00,Faulty Workmanship,39.63
v2.0.101,717,95.00,Games of Chance / Over-Redemptio,7.68
v2.0.101,718,95.00,HIPAA Violations,3.07
v2.0.101,719,95.00,Open House Claim Sublimit,9.63
v2.0.101,720,95.00,Rectification Expenses,5.62
v2.0.101,721,95.00,Protective Indemnity,1.54
v2.0.101,722,95.00,Mold,5.62
v2.0.101,723,95.00,Pollutants in Transit,1.54
v2.0.101,724,95.00,Non-Owned Disposal Site,1.54
v2.0.101,725,95.00,Bodily injury / property damage,20.43
v2.0.101,726,95.00,Antitrust sublimit,3.07
v2.0.101,727,95.00,Failure to disclose pollutants,3.07
v2.0.101,728,95.00,FCRA defense only sublimit,13.82
v2.0.101,729,95.00,Pollution liability,9.73
v2.0.101,730,95.00,Technology Coverage Extensio,9.63
v2.0.101,731,95.00,Bodily Inury (Emotional Distress),9.73
v2.0.101,732,95.00,Network security & privacy,5.62
v2.0.101,733,95.00,Defamation Exclusion and Sublimit,-0.11
v2.0.101,734,95.00,InvasionPrivacyExclusionSublimit,-0.11
v2.0.101,735,95.00,Media activities,10.44
v2.0.101,736,100.00,Bodily Injury,19.74
v2.0.101,737,100.00,Property Damage,7.90
v2.0.101,738,100.00,Breach of Contract,7.90
v2.0.101,739,100.00,Personal & Advertising Injury,15.79
v2.0.101,740,100.00,Intellectual Property Infringement,7.90
v2.0.101,741,100.00,Third Party Discriminatio,7.90
v2.0.101,742,100.00,Contractors Pollution (Claims Made),9.72
v2.0.101,743,100.00,Contractors Pollution (Occ),11.67
v2.0.101,744,100.00,Sexual Abuse & Misconduct,20.83
v2.0.101,745,100.00,Billing Errors Coverage,7.70
v2.0.101,746,100.00,Class Action Sublimit,0.00
v2.0.101,747,100.00,Crisis Management,5.67
v2.0.101,748,100.00,Defense Only TCPA,13.85
v2.0.101,749,100.00,Defense Outside Limits,15.79
v2.0.101,750,100.00,Evacuation Expenses,5.67
v2.0.101,751,100.00,Faulty Workmanship,40.00
v2.0.101,752,100.00,Games of Chance / Over-Redemptio,7.70
v2.0.101,753,100.00,HIPAA Violations,3.08
v2.0.101,754,100.00,Open House Claim Sublimit,9.72
v2.0.101,755,100.00,Rectification Expenses,5.67
v2.0.101,756,100.00,Protective Indemnity,1.54
v2.0.101,757,100.00,Mold,5.67
v2.0.101,758,100.00,Pollutants in Transit,1.54
v2.0.101,759,100.00,Non-Owned Disposal Site,1.54
v2.0.101,760,100.00,Bodily injury / property damage,20.73
v2.0.101,761,100.00,Antitrust sublimit,3.08
v2.0.101,762,100.00,Failure to disclose pollutants,3.08
v2.0.101,763,100.00,FCRA defense only sublimit,13.85
v2.0.101,764,100.00,Pollution liability,9.87
v2.0.101,765,100.00,Technology Coverage Extensio,9.72
v2.0.101,766,100.00,Bodily Inury (Emotional Distress),9.87
v2.0.101,767,100.00,Network security & privacy,5.67
v2.0.101,768,100.00,Defamation Exclusion and Sublimit,0.00
v2.0.101,769,100.00,InvasionPrivacyExclusionSublimit,0.00
v2.0.101,770,100.00,Media activities,10.53
v2.0.101,771,105.00,Bodily Injury,20.02
v2.0.101,772,105.00,Property Damage,8.01
v2.0.101,773,105.00,Breach of Contract,8.01
v2.0.101,774,105.00,Personal & Advertising Injury,16.02
v2.0.101,775,105.00,Intellectual Property Infringement,8.01
v2.0.101,776,105.00,Third Party Discriminatio,8.01
v2.0.101,777,105.00,Contractors Pollution (Claims Made),9.80
v2.0.101,778,105.00,Contractors Pollution (Occ),11.77
v2.0.101,779,105.00,Sexual Abuse & Misconduct,21.30
v2.0.101,780,105.00,Billing Errors Coverage,7.80
v2.0.101,781,105.00,Class Action Sublimit,0.00
v2.0.101,782,105.00,Crisis Management,5.70
v2.0.101,783,105.00,Defense Only TCPA,14.00
v2.0.101,784,105.00,Defense Outside Limits,16.00
v2.0.101,785,105.00,Evacuation Expenses,5.70
v2.0.101,786,105.00,Faulty Workmanship,40.40
v2.0.101,787,105.00,Games of Chance / Over-Redemptio,7.80
v2.0.101,788,105.00,HIPAA Violations,3.10
v2.0.101,789,105.00,Open House Claim Sublimit,9.80
v2.0.101,790,105.00,Rectification Expenses,5.70
v2.0.101,791,105.00,Protective Indemnity,1.60
v2.0.101,792,105.00,Mold,5.72
v2.0.101,793,105.00,Pollutants in Transit,1.55
v2.0.101,794,105.00,Non-Owned Disposal Site,1.55
v2.0.101,795,105.00,Bodily injury / property damage,21.02
v2.0.101,796,105.00,Antitrust sublimit,3.11
v2.0.101,797,105.00,Failure to disclose pollutants,3.11
v2.0.101,798,105.00,FCRA defense only sublimit,13.98
v2.0.101,799,105.00,Pollution liability,10.01
v2.0.101,800,105.00,Technology Coverage Extensio,9.81
v2.0.101,801,105.00,Bodily Inury (Emotional Distress),10.01
v2.0.101,802,105.00,Network security & privacy,5.72
v2.0.101,803,105.00,Defamation Exclusion and Sublimit,0.11
v2.0.101,804,105.00,InvasionPrivacyExclusionSublimit,0.11
v2.0.101,805,105.00,Media activities,10.63
v2.0.101,806,110.00,Bodily Injury,20.30
v2.0.101,807,110.00,Property Damage,8.12
v2.0.101,808,110.00,Breach of Contract,8.12
v2.0.101,809,110.00,Personal & Advertising Injury,16.24
v2.0.101,810,110.00,Intellectual Property Infringement,8.12
v2.0.101,811,110.00,Third Party Discriminatio,8.12
v2.0.101,812,110.00,Contractors Pollution (Claims Made),9.90
v2.0.101,813,110.00,Contractors Pollution (Occ),11.88
v2.0.101,814,110.00,Sexual Abuse & Misconduct,21.70
v2.0.101,815,110.00,Billing Errors Coverage,7.80
v2.0.101,816,110.00,Class Action Sublimit,0.00
v2.0.101,817,110.00,Crisis Management,5.80
v2.0.101,818,110.00,Defense Only TCPA,14.10
v2.0.101,819,110.00,Defense Outside Limits,16.20
v2.0.101,820,110.00,Evacuation Expenses,5.80
v2.0.101,821,110.00,Faulty Workmanship,40.70
v2.0.101,822,110.00,Games of Chance / Over-Redemptio,7.80
v2.0.101,823,110.00,HIPAA Violations,3.10
v2.0.101,824,110.00,Open House Claim Sublimit,9.90
v2.0.101,825,110.00,Rectification Expenses,5.80
v2.0.101,826,110.00,Protective Indemnity,1.60
v2.0.101,827,110.00,Mold,5.78
v2.0.101,828,110.00,Pollutants in Transit,1.57
v2.0.101,829,110.00,Non-Owned Disposal Site,1.57
v2.0.101,830,110.00,Bodily injury / property damage,21.31
v2.0.101,831,110.00,Antitrust sublimit,3.13
v2.0.101,832,110.00,Failure to disclose pollutants,3.13
v2.0.101,833,110.00,FCRA defense only sublimit,14.11
v2.0.101,834,110.00,Pollution liability,10.15
v2.0.101,835,110.00,Technology Coverage Extensio,9.90
v2.0.101,836,110.00,Bodily Inury (Emotional Distress),10.15
v2.0.101,837,110.00,Network security & privacy,5.78
v2.0.101,838,110.00,Defamation Exclusion and Sublimit,0.22
v2.0.101,839,110.00,InvasionPrivacyExclusionSublimit,0.22
v2.0.101,840,110.00,Media activities,10.73
v2.0.101,841,115.00,Bodily Injury,20.58
v2.0.101,842,115.00,Property Damage,8.23
v2.0.101,843,115.00,Breach of Contract,8.23
v2.0.101,844,115.00,Personal & Advertising Injury,16.46
v2.0.101,845,115.00,Intellectual Property Infringement,8.23
v2.0.101,846,115.00,Third Party Discriminatio,8.23
v2.0.101,847,115.00,Contractors Pollution (Claims Made),10.00
v2.0.101,848,115.00,Contractors Pollution (Occ),11.99
v2.0.101,849,115.00,Sexual Abuse & Misconduct,22.20
v2.0.101,850,115.00,Billing Errors Coverage,7.90
v2.0.101,851,115.00,Class Action Sublimit,0.00
v2.0.101,852,115.00,Crisis Management,5.80
v2.0.101,853,115.00,Defense Only TCPA,14.20
v2.0.101,854,115.00,Defense Outside Limits,16.50
v2.0.101,855,115.00,Evacuation Expenses,5.80
v2.0.101,856,115.00,Faulty Workmanship,41.10
v2.0.101,857,115.00,Games of Chance / Over-Redemptio,7.90
v2.0.101,858,115.00,HIPAA Violations,3.20
v2.0.101,859,115.00,Open House Claim Sublimit,10.00
v2.0.101,860,115.00,Rectification Expenses,5.80
v2.0.101,861,115.00,Protective Indemnity,1.60
v2.0.101,862,115.00,Mold,5.83
v2.0.101,863,115.00,Pollutants in Transit,1.58
v2.0.101,864,115.00,Non-Owned Disposal Site,1.58
v2.0.101,865,115.00,Bodily injury / property damage,21.61
v2.0.101,866,115.00,Antitrust sublimit,3.16
v2.0.101,867,115.00,Failure to disclose pollutants,3.16
v2.0.101,868,115.00,FCRA defense only sublimit,14.23
v2.0.101,869,115.00,Pollution liability,10.29
v2.0.101,870,115.00,Technology Coverage Extensio,9.99
v2.0.101,871,115.00,Bodily Inury (Emotional Distress),10.29
v2.0.101,872,115.00,Network security & privacy,5.83
v2.0.101,873,115.00,Defamation Exclusion and Sublimit,0.33
v2.0.101,874,115.00,InvasionPrivacyExclusionSublimit,0.33
v2.0.101,875,115.00,Media activities,10.82
v2.0.101,876,120.00,Bodily Injury,20.86
v2.0.101,877,120.00,Property Damage,8.34
v2.0.101,878,120.00,Breach of Contract,8.34
v2.0.101,879,120.00,Personal & Advertising Injury,16.68
v2.0.101,880,120.00,Intellectual Property Infringement,8.34
v2.0.101,881,120.00,Third Party Discriminatio,8.34
v2.0.101,882,120.00,Contractors Pollution (Claims Made),10.10
v2.0.101,883,120.00,Contractors Pollution (Occ),12.10
v2.0.101,884,120.00,Sexual Abuse & Misconduct,22.60
v2.0.101,885,120.00,Billing Errors Coverage,8.00
v2.0.101,886,120.00,Class Action Sublimit,0.00
v2.0.101,887,120.00,Crisis Management,5.90
v2.0.101,888,120.00,Defense Only TCPA,14.40
v2.0.101,889,120.00,Defense Outside Limits,16.70
v2.0.101,890,120.00,Evacuation Expenses,5.90
v2.0.101,891,120.00,Faulty Workmanship,41.50
v2.0.101,892,120.00,Games of Chance / Over-Redemptio,8.00
v2.0.101,893,120.00,HIPAA Violations,3.20
v2.0.101,894,120.00,Open House Claim Sublimit,10.10
v2.0.101,895,120.00,Rectification Expenses,5.90
v2.0.101,896,120.00,Protective Indemnity,1.60
v2.0.101,897,120.00,Mold,5.88
v2.0.101,898,120.00,Pollutants in Transit,1.60
v2.0.101,899,120.00,Non-Owned Disposal Site,1.60
v2.0.101,900,120.00,Bodily injury / property damage,21.90
v2.0.101,901,120.00,Antitrust sublimit,3.19
v2.0.101,902,120.00,Failure to disclose pollutants,3.19
v2.0.101,903,120.00,FCRA defense only sublimit,14.36
v2.0.101,904,120.00,Pollution liability,10.43
v2.0.101,905,120.00,Technology Coverage Extensio,10.08
v2.0.101,906,120.00,Bodily Inury (Emotional Distress),10.43
v2.0.101,907,120.00,Network security & privacy,5.88
v2.0.101,908,120.00,Defamation Exclusion and Sublimit,0.45
v2.0.101,909,120.00,InvasionPrivacyExclusionSublimit,0.45
v2.0.101,910,120.00,Media activities,10.92
v2.0.101,911,125.00,Bodily Injury,21.13
v2.0.101,912,125.00,Property Damage,8.45
v2.0.101,913,125.00,Breach of Contract,8.45
v2.0.101,914,125.00,Personal & Advertising Injury,16.91
v2.0.101,915,125.00,Intellectual Property Infringement,8.45
v2.0.101,916,125.00,Third Party Discriminatio,8.45
v2.0.101,917,125.00,Contractors Pollution (Claims Made),10.20
v2.0.101,918,125.00,Contractors Pollution (Occ),12.20
v2.0.101,919,125.00,Sexual Abuse & Misconduct,23.10
v2.0.101,920,125.00,Billing Errors Coverage,8.00
v2.0.101,921,125.00,Class Action Sublimit,0.00
v2.0.101,922,125.00,Crisis Management,5.90
v2.0.101,923,125.00,Defense Only TCPA,14.50
v2.0.101,924,125.00,Defense Outside Limits,16.90
v2.0.101,925,125.00,Evacuation Expenses,5.90
v2.0.101,926,125.00,Faulty Workmanship,41.80
v2.0.101,927,125.00,Games of Chance / Over-Redemptio,8.00
v2.0.101,928,125.00,HIPAA Violations,3.20
v2.0.101,929,125.00,Open House Claim Sublimit,10.20
v2.0.101,930,125.00,Rectification Expenses,5.90
v2.0.101,931,125.00,Protective Indemnity,1.60
v2.0.101,932,125.00,Mold,5.93
v2.0.101,933,125.00,Pollutants in Transit,1.61
v2.0.101,934,125.00,Non-Owned Disposal Site,1.61
v2.0.101,935,125.00,Bodily injury / property damage,22.19
v2.0.101,936,125.00,Antitrust sublimit,3.22
v2.0.101,937,125.00,Failure to disclose pollutants,3.22
v2.0.101,938,125.00,FCRA defense only sublimit,14.49
v2.0.101,939,125.00,Pollution liability,10.57
v2.0.101,940,125.00,Technology Coverage Extensio,10.17
v2.0.101,941,125.00,Bodily Inury (Emotional Distress),10.57
v2.0.101,942,125.00,Network security & privacy,5.93
v2.0.101,943,125.00,Defamation Exclusion and Sublimit,0.56
v2.0.101,944,125.00,InvasionPrivacyExclusionSublimit,0.56
v2.0.101,945,125.00,Media activities,11.02
v2.0.101,946,130.00,Bodily Injury,21.41
v2.0.101,947,130.00,Property Damage,8.57
v2.0.101,948,130.00,Breach of Contract,8.57
v2.0.101,949,130.00,Personal & Advertising Injury,17.13
v2.0.101,950,130.00,Intellectual Property Infringement,8.57
v2.0.101,951,130.00,Third Party Discriminatio,8.57
v2.0.101,952,130.00,Contractors Pollution (Claims Made),10.30
v2.0.101,953,130.00,Contractors Pollution (Occ),12.31
v2.0.101,954,130.00,Sexual Abuse & Misconduct,23.50
v2.0.101,955,130.00,Billing Errors Coverage,8.10
v2.0.101,956,130.00,Class Action Sublimit,0.00
v2.0.101,957,130.00,Crisis Management,6.00
v2.0.101,958,130.00,Defense Only TCPA,14.60
v2.0.101,959,130.00,Defense Outside Limits,17.10
v2.0.101,960,130.00,Evacuation Expenses,6.00
v2.0.101,961,130.00,Faulty Workmanship,42.20
v2.0.101,962,130.00,Games of Chance / Over-Redemptio,8.10
v2.0.101,963,130.00,HIPAA Violations,3.20
v2.0.101,964,130.00,Open House Claim Sublimit,10.30
v2.0.101,965,130.00,Rectification Expenses,6.00
v2.0.101,966,130.00,Protective Indemnity,1.60
v2.0.101,967,130.00,Mold,5.98
v2.0.101,968,130.00,Pollutants in Transit,1.62
v2.0.101,969,130.00,Non-Owned Disposal Site,1.62
v2.0.101,970,130.00,Bodily injury / property damage,22.48
v2.0.101,971,130.00,Antitrust sublimit,3.25
v2.0.101,972,130.00,Failure to disclose pollutants,3.25
v2.0.101,973,130.00,FCRA defense only sublimit,14.62
v2.0.101,974,130.00,Pollution liability,10.71
v2.0.101,975,130.00,Technology Coverage Extensio,10.26
v2.0.101,976,130.00,Bodily Inury (Emotional Distress),10.71
v2.0.101,977,130.00,Network security & privacy,5.98
v2.0.101,978,130.00,Defamation Exclusion and Sublimit,0.67
v2.0.101,979,130.00,InvasionPrivacyExclusionSublimit,0.67
v2.0.101,980,130.00,Media activities,11.11
v2.0.101,981,135.00,Bodily Injury,21.69
v2.0.101,982,135.00,Property Damage,8.68
v2.0.101,983,135.00,Breach of Contract,8.68
v2.0.101,984,135.00,Personal & Advertising Injury,17.35
v2.0.101,985,135.00,Intellectual Property Infringement,8.68
v2.0.101,986,135.00,Third Party Discriminatio,8.68
v2.0.101,987,135.00,Contractors Pollution (Claims Made),10.30
v2.0.101,988,135.00,Contractors Pollution (Occ),12.42
v2.0.101,989,135.00,Sexual Abuse & Misconduct,24.00
v2.0.101,990,135.00,Billing Errors Coverage,8.20
v2.0.101,991,135.00,Class Action Sublimit,0.00
v2.0.101,992,135.00,Crisis Management,6.00
v2.0.101,993,135.00,Defense Only TCPA,14.70
v2.0.101,994,135.00,Defense Outside Limits,17.40
v2.0.101,995,135.00,Evacuation Expenses,6.00
v2.0.101,996,135.00,Faulty Workmanship,42.60
v2.0.101,997,135.00,Games of Chance / Over-Redemptio,8.20
v2.0.101,998,135.00,HIPAA Violations,3.30
v2.0.101,999,135.00,Open House Claim Sublimit,10.30
v2.0.101,1000,135.00,Rectification Expenses,6.00
