version,id,industry_sub_sector_id,name
v2.0.101,116,33,Aerospace Engineers
v2.0.101,117,33,Chemical Engineers
v2.0.101,118,33,Civil Engineers
v2.0.101,119,33,Control Systems Integration and Automation
v2.0.101,120,33,Electrical Engineers
v2.0.101,121,33,Environmental Engineers and Consultants
v2.0.101,122,33,Geotechnical Engineer
v2.0.101,123,33,Heating and Cooling Systems Engineer
v2.0.101,124,33,Industrial Engineers
v2.0.101,125,33,Marine Engineers and Naval Architects
v2.0.101,126,33,Mechanical Engineers
v2.0.101,127,33,Mining Engineer
v2.0.101,128,33,Nuclear Engineers
v2.0.101,129,33,Petroleum Engineers
v2.0.101,130,33,Seismic Engineer
v2.0.101,131,33,Structural Engineer
v2.0.101,132,33,Consulting Engineers
v2.0.101,133,34,Building Code Inspector
v2.0.101,134,34,Building Commissioning
v2.0.101,135,34,Building Materials Testing and Engineering
v2.0.101,136,34,Crane Inspector
v2.0.101,137,34,Elevator Inspector
v2.0.101,138,34,Home Inspector
v2.0.101,139,34,Mechanical / Electrical / Plumbing Inspector
v2.0.101,140,34,Roofing Inspector
v2.0.101,141,34,Welding Inspector
v2.0.101,142,34,Forensic Analysis and Expert Witness
v2.0.101,143,35,Interior Design Services
v2.0.101,144,36,Geophysical Surveying and Mapping Services
v2.0.101,145,36,Surveying and Mapping (except Geophysical) Services - Land Surveyor
v2.0.101,146,37,Accountants
v2.0.101,147,37,Other Accounting Services
v2.0.101,148,37,Payroll Services
v2.0.101,149,37,Tax Preparation Services
v2.0.101,150,38,Actuarial services
v2.0.101,151,39,Debt / Credit Management
v2.0.101,152,40,Life Settlement Services
v2.0.101,153,40,Other Financial Activites
v2.0.101,154,40,Structured Settlement Services
v2.0.101,155,41,Claims Adjuster
v2.0.101,156,41,Insurance Related Activities
v2.0.101,157,41,Public Claims Adjuster
v2.0.101,158,42,Interim Management Services
v2.0.101,159,43,Trustees
v2.0.101,160,44,Assisted Living Facility 
v2.0.101,161,44,Independent Living Facility
v2.0.101,162,44,Memory Care Facility
v2.0.101,163,45,Group Home - Adults
v2.0.101,164,45,Group Home - Minors 
v2.0.101,165,46,Hospice (inpatient)
v2.0.101,166,47,Mental Health - Non-Substance Abuse
v2.0.101,167,48,Inpatient Substance Abuse: Detox Management
v2.0.101,168,48,Inpatient Substance Abuse: Halfway House
v2.0.101,169,48,Inpatient Substance Abuse: Medication Management
v2.0.101,170,49,Administrative and Support Services
v2.0.101,171,49,Association Management
v2.0.101,172,49,Background Checks / Screening Services
v2.0.101,173,49,Grant Administration and Monitoring Services
v2.0.101,174,49,Permit Processing and Expediting Services
v2.0.101,175,49,Writing Services for Hire (No Authors)
v2.0.101,176,50,Agents and Managers for Public Figures
v2.0.101,177,51,Analytical Testing Lab Services: Food
v2.0.101,178,51,Analytical Testing Lab Services: Medical/Forensic
v2.0.101,179,51,Analytical Testing Lab Services: Non-Destructive Materials
v2.0.101,180,51,Analytical Testing Lab Services: Other
v2.0.101,181,51,Analytical Testing Lab Services: Soil
v2.0.101,182,52,Associations
v2.0.101,183,53,Collection Agent Services: Owned/factored debt
v2.0.101,184,53,Collection Agent Services: Third party debt
v2.0.101,185,53,Medical Billing Services
v2.0.101,186,53,Other Billing Services
v2.0.101,187,54,Business Broker Services
v2.0.101,188,55,Business Management
v2.0.101,189,55,Full Service Management of Third Party Business
v2.0.101,190,55,Hotel Management
v2.0.101,191,55,Medical Practice Management Services
v2.0.101,192,56,Court Reporting Services
v2.0.101,193,57,Instructional & Training Activities
v2.0.101,194,57,"Educational Test Development, Scoring and Proctoring Services"
v2.0.101,195,57,Exam Preparation and Tutoring
v2.0.101,196,57,Foreign Exchange Student & Homestay Services
v2.0.101,197,57,Vocational Training & Consulting
v2.0.101,198,58,Franchisor Services 
v2.0.101,199,59,Landman
v2.0.101,200,60,Aircraft/Jet Broker
v2.0.101,201,60,Appraisal of ods
v2.0.101,202,60,Auctioneering of ods and Services
v2.0.101,203,60,Bail Agent
v2.0.101,204,60,Broker of Other ods and Services
v2.0.101,205,60,Event Planning Services
v2.0.101,206,60,Extermination and Pest Control Services
v2.0.101,207,60,Janitorial Services
v2.0.101,208,60,Other Services
v2.0.101,209,60,Skip Tracing Services
v2.0.101,210,60,Telephone Call Center Services: Inbound
v2.0.101,211,60,Telephone Call Center Services: Outbound
v2.0.101,212,60,Translation Services
v2.0.101,213,60,Repossession Services
v2.0.101,214,60,Yacht/Ship/Boat Broker
v2.0.101,215,61,Printing Services
v2.0.101,216,62,Private Investigation Services
v2.0.101,217,63,Accreditation Services
v2.0.101,218,63,"Other Professional, Scientific, and Technical Services"
v2.0.101,219,63,Business Process Operator/Outsourcer
v2.0.101,220,63,Dispute Resolution Services
v2.0.101,221,63,Energy Broker
v2.0.101,222,63,Executive Coaching and Mentoring
v2.0.101,223,63,Expert Witness
v2.0.101,224,63,Guardianship services
v2.0.101,225,63,Lobbying
v2.0.101,226,63,Notaries
v2.0.101,227,63,"Inspection, Repair, Calibration, Maintenance Services"
v2.0.101,228,63,Process Server
v2.0.101,229,64,Referral Services
v2.0.101,230,65,Security/Defense/Military Contractor Services
v2.0.101,231,66,Permanent Employment Services
v2.0.101,232,66,Professional Employer Organization Services
v2.0.101,233,66,Temporary & Permanent Employment Services
v2.0.101,234,66,Temporary Employment Services
v2.0.101,235,67,Third Party Administration: Employee benefits
v2.0.101,236,67,Third Party Administration: Non-employee benefits
v2.0.101,237,68,"Couriers, Messengers, and Delivery Services"
v2.0.101,238,68,Custom House/Freight Forwarder Services
v2.0.101,239,68,Marine Surveying Services
v2.0.101,240,68,Transportation Related Activities
v2.0.101,241,68,Pilot Car Services
v2.0.101,242,68,Traffic Control and Management Services
v2.0.101,243,68,"Warehousing, Storage, and Fulfillment"
v2.0.101,244,69,Other Travel Services
v2.0.101,245,69,Tour Operator Services
v2.0.101,246,69,Travel Agency Services
v2.0.101,247,70,Adult Day Care
v2.0.101,248,71,Audiologists
v2.0.101,249,72,Blood and Organ Banks: Blood
v2.0.101,250,72,Blood and Organ Banks: Milk
v2.0.101,251,72,Blood and Organ Banks: Organs
v2.0.101,252,72,Blood and Organ Banks: Reproductive
v2.0.101,253,72,Blood and Organ Banks: Tissue
v2.0.101,254,73,Case Management
v2.0.101,255,73,Medical Guardianship
v2.0.101,256,74,General Medical Clinic
v2.0.101,257,74,Methadone Clinic
v2.0.101,258,74,Pain Management Clinic
v2.0.101,259,74,Physical Medicine Clinic
v2.0.101,260,74,Pregnancy education/testing
v2.0.101,261,74,Sleep Clinic
v2.0.101,262,74,Weight Loss Clinic
v2.0.101,263,75,Clinical Research/ Trials
v2.0.101,264,76,Behavioral Counseling
v2.0.101,265,76,Egg Donor or Surrogate Matching Services
v2.0.101,266,76,Marriage and Family Counseling
v2.0.101,267,76,Pastoral counseling
v2.0.101,268,76,PHP / IOP
v2.0.101,269,76,Substance Abuse: Counseling
v2.0.101,270,77,Dental assistant or hygenist
v2.0.101,271,77,Dental labs
v2.0.101,272,77,Dentist: Non-Specialist - Non-Surgery
v2.0.101,273,77,Dentist: Non-Specialist - Surgery
v2.0.101,274,77,Dentist: Specialist - Non-Surgery
v2.0.101,275,77,Dentist: Specialist - Surgery
v2.0.101,276,78,Dialysis
v2.0.101,277,79,Health Screening
v2.0.101,278,79,Wellness Counseling
v2.0.101,279,80,Healthcare Staffing: Correctional Facility - Skilled
v2.0.101,280,80,Healthcare Staffing: Hospital - ICU
v2.0.101,281,80,Healthcare Staffing: Hospital - Non-ICU
v2.0.101,282,80,Healthcare Staffing: Nursing Home / ALF
v2.0.101,283,80,Healthcare Staffing: Other Healthcare
v2.0.101,284,81,Home Healthcare: Developmentally Disabled
v2.0.101,285,81,Home Healthcare: Remote Patient Monitoring
v2.0.101,286,81,Home Healthcare: Skilled - Hospice (outpatient)
v2.0.101,287,81,Home Healthcare: Skilled - non-pediatrics
v2.0.101,288,81,Home Healthcare: Skilled - pediatrics
v2.0.101,289,81,Home Healthcare: Unskilled
v2.0.101,290,82,Drug / Alcohol Testing - Other
v2.0.101,291,82,Drug / Alcohol Testing - Substance Abuse Testing
v2.0.101,292,82,Medical Imaging: Inpatient (Hospital)
v2.0.101,293,82,Medical Imaging: Mobile
v2.0.101,294,82,Medical Imaging: Outpatient
v2.0.101,295,82,Phlebotomy
v2.0.101,296,82,Testing laboratory: Fertility
